"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TETYRCSL","webpage","","","Synthetic Dataset Generation for ML using Scikit Learn and More","","","","","https://towardsdatascience.com/synthetic-dataset-generation-for-ml-using-scikit-learn-and-more-beab8cacc8f8","","","2020-06-07 21:29:16","2020-06-07 21:29:16","2020-06-07 21:29:16","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/75KSR6UF/synthetic-dataset-generation-for-ml-using-scikit-learn-and-more-beab8cacc8f8.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBHD6FNA","webpage","","","Machine-Learning-with-Python/Function approximation by linear model and deep network.ipynb at master · tirthajyoti/Machine-Learning-with-Python · GitHub","","","","","https://github.com/tirthajyoti/Machine-Learning-with-Python/blob/master/Function%20Approximation%20by%20Neural%20Network/Function%20approximation%20by%20linear%20model%20and%20deep%20network.ipynb","","","2020-06-07 21:29:23","2020-06-07 21:29:23","2020-06-07 21:29:23","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/UBBXGY38/Function approximation by linear model and deep network.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPR65CPZ","webpage","","","sklearn.datasets.make_regression — scikit-learn 0.23.1 documentation","","","","","https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_regression.html","","","2020-06-07 21:29:28","2020-06-07 21:29:28","2020-06-07 21:29:28","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/6TZDEC5D/sklearn.datasets.make_regression.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5YH8SGE","webpage","","","LSTM_Stock_Prediction/LSTM_Stock_Prediction_Explanation.ipynb at master · DrewScatterday/LSTM_Stock_Prediction · GitHub","","","","","https://github.com/DrewScatterday/LSTM_Stock_Prediction/blob/master/LSTM_Stock_Prediction_Explanation.ipynb","","","2020-06-07 21:29:35","2020-06-07 21:29:35","2020-06-07 21:29:35","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/X3IXARLV/LSTM_Stock_Prediction_Explanation.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMAZ2NDT","webpage","","","Walking through Support Vector Regression and LSTMs with stock price prediction","","","","","https://towardsdatascience.com/walking-through-support-vector-regression-and-lstms-with-stock-price-prediction-45e11b620650","","","2020-06-07 21:29:45","2020-06-07 21:29:45","2020-06-07 21:29:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NQXESAS","webpage","","","1. Supervised learning — scikit-learn 0.23.1 documentation","","","","","https://scikit-learn.org/stable/supervised_learning.html","","","2020-06-07 21:29:49","2020-06-07 21:29:49","2020-06-07 21:29:49","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/9XJU2U2B/supervised_learning.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VIA6UQ6","webpage","","","An Introduction to Support Vector Regression (SVR) - Towards Data Science","","","","","https://towardsdatascience.com/an-introduction-to-support-vector-regression-svr-a3ebc1672c2","","","2020-06-07 21:29:59","2020-06-07 21:29:59","2020-06-07 21:29:59","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/NPR933N7/an-introduction-to-support-vector-regression-svr-a3ebc1672c2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VQX8TQC","webpage","","","A beginner’s guide to Linear Regression in Python with Scikit-Learn","","","","","https://towardsdatascience.com/a-beginners-guide-to-linear-regression-in-python-with-scikit-learn-83a8f7ae2b4f","","","2020-06-07 21:30:12","2020-06-07 21:30:12","2020-06-07 21:30:12","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/9EE7WQHV/a-beginners-guide-to-linear-regression-in-python-with-scikit-learn-83a8f7ae2b4f.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BW3P8L9","webpage","","","Solving regression problems by combining statistical learning with machine learning","","","","","https://towardsdatascience.com/solving-regression-problems-by-combining-statistical-learning-with-machine-learning-82949f7ac18a","","","2020-06-07 21:30:13","2020-06-07 21:30:13","2020-06-07 21:30:13","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/T4DUDLXM/solving-regression-problems-by-combining-statistical-learning-with-machine-learning-82949f7ac18.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K758M4WQ","webpage","","","Cracking the handwritten digits recognition problem with Scikit-learn","","","","","https://medium.com/overfitted-microservices/cracking-the-handwritten-digits-recognition-problem-with-scikit-learn-b5afc28e2c24","","","2020-06-07 21:30:18","2020-06-07 21:30:18","2020-06-07 21:30:18","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/G86PJHTG/cracking-the-handwritten-digits-recognition-problem-with-scikit-learn-b5afc28e2c24.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F64T8JWB","webpage","","","Easily visualize Scikit-learn models’ decision boundaries","","","","","https://towardsdatascience.com/easily-visualize-scikit-learn-models-decision-boundaries-dd0fb3747508","","","2020-06-07 21:30:26","2020-06-07 21:30:26","2020-06-07 21:30:26","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/WWWPCAM5/easily-visualize-scikit-learn-models-decision-boundaries-dd0fb3747508.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JYLC3CIV","webpage","","","Generating Synthetic Classification Data using Scikit","","","","","https://towardsdatascience.com/https-medium-com-faizanahemad-generating-synthetic-classification-data-using-scikit-1590c1632922","","","2020-06-07 21:30:33","2020-06-07 21:30:33","2020-06-07 21:30:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQES28KM","webpage","","","Synthetic data generation — a must-have skill for new data scientists","","","","","https://towardsdatascience.com/synthetic-data-generation-a-must-have-skill-for-new-data-scientists-915896c0c1ae","","","2020-06-07 21:30:38","2020-06-07 21:30:38","2020-06-07 21:30:38","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/GCC4EJVD/synthetic-data-generation-a-must-have-skill-for-new-data-scientists-915896c0c1ae.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRW2GI77","webpage","","","A Guide to using Logistic Regression for Digit Recognition (with Python codes)","","","","","https://medium.com/analytics-vidhya/a-guide-to-using-logistic-regression-for-digit-recognition-with-python-codes-86aae6da10fe","","","2020-06-07 21:30:47","2020-06-07 21:30:47","2020-06-07 21:30:47","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/KH6BY2LA/a-guide-to-using-logistic-regression-for-digit-recognition-with-python-codes-86aae6da10fe.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7W26GK2","webpage","","","Building a Machine Learning Classifier Model for Diabetes","","","","","https://towardsdatascience.com/building-a-machine-learning-classifier-model-for-diabetes-4fca624daed0","","","2020-06-07 21:30:55","2020-06-07 21:30:55","2020-06-07 21:30:55","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/L9JUQVHB/building-a-machine-learning-classifier-model-for-diabetes-4fca624daed0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
